trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.8419791731684999, 'e': 0.17931568359471053}",20,0,6.962358932045756,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
173,False,"{'a': 0.8411376148446232, 'e': 0.17752252675876343}",25,0,25.401374822811768,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.8402968976584314, 'e': 0.1757473014911758}",20,2,-12.171958393667929,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
175,False,"{'a': 0.8394570207692074, 'e': 0.173989828476264}",25,1,5.600809447349331,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.838617983337074, 'e': 0.1722499301915014}",30,19,8.862199249040183,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.8377797845229938, 'e': 0.17052743088958636}",25,0,38.63016633829043,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.8369424234887681, 'e': 0.1688221565806905}",20,12,3.531749622937742,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.8361058993970355, 'e': 0.1671339350148836}",25,14,7.6549650123131645,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.835270211411272, 'e': 0.16546259566473476}",25,0,26.905550747256537,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.8344353586957896, 'e': 0.16380796970808742}",20,7,15.375263794118515,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.8336013404157353, 'e': 0.16216989001100654}",20,0,23.5234890918245,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.832768155737091, 'e': 0.16054819111089647}",20,11,16.628125794596126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8319358038266718, 'e': 0.1589427091997875}",25,3,29.786954694055694,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8311042838521256, 'e': 0.15735328210778962}",25,0,14.437063505216464,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
186,False,"{'a': 0.8302735949819328, 'e': 0.15577974928671173}",20,0,-33.3094950154798,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
187,False,"{'a': 0.8294437363854039, 'e': 0.1542219517938446}",30,17,15.381628588232026,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8286147072326806, 'e': 0.15267973227590617}",20,12,15.29615356578136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.8277865066947336, 'e': 0.1511529349531471}",20,0,-27.10850783030874,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
190,False,"{'a': 0.8269591339433623, 'e': 0.14964140560361563}",20,10,18.62437730229013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8261325881511938, 'e': 0.14814499154757946}",20,8,18.038485031151875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.8253068684916824, 'e': 0.14666354163210368}",25,18,11.61240975732462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.8244819741391082, 'e': 0.14519690621578263}",20,2,31.844380064000188,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8236579042685769, 'e': 0.1437449371536248}",20,5,3.7923470198563844,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
195,False,"{'a': 0.8228346580560184, 'e': 0.14230748778208857}",20,14,12.702709179589677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8220122346781865, 'e': 0.14088441290426768}",20,0,-1.5056172783104587,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
197,False,"{'a': 0.821190633312658, 'e': 0.139475568775225}",25,13,23.784005195517103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8203698531378311, 'e': 0.13808081308747275}",20,12,6.42593340116454,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.8195498933329256, 'e': 0.136700004956598}",20,14,2.5067449054063324,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8187307530779818, 'e': 0.13533300490703204}",30,0,-24.370990273736382,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
201,False,"{'a': 0.8179124315538594, 'e': 0.13397967485796172}",25,8,29.224766049151796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.8170949279422366, 'e': 0.1326398781093821}",25,6,19.258559885972417,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.8162782414256099, 'e': 0.13131347932828827}",25,2,37.299221960768115,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8154623711872927, 'e': 0.1300003445350054}",20,9,20.83086726015474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.8146473164114145, 'e': 0.12870034108965533}",25,0,40.346154449701054,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.8138330762829207, 'e': 0.1274133376787588}",30,5,15.814352734727317,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.813019649987571, 'e': 0.12613920430197118}",35,10,12.967178465239872,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.8122070367119391, 'e': 0.12487781225895148}",25,13,23.256819991010307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.8113952356434114, 'e': 0.12362903413636196}",20,5,28.203376344032158,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.8105842459701871, 'e': 0.12239274379499834}",25,8,32.45854698806153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.8097740668812763, 'e': 0.12116881635704835}",20,14,10.457363765559185,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.8089646975664999, 'e': 0.11995712819347787}",25,17,14.820502382096421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.8081561372164884, 'e': 0.11875755691154309}",25,13,22.237587902417438,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8073483850226815, 'e': 0.11756998134242766}",20,0,23.330928070446653,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.8065414401773269, 'e': 0.11639428152900338}",20,16,6.564127463088914,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8057353018734796, 'e': 0.11523033871371334}",30,13,7.553650674550466,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
217,False,"{'a': 0.8049299693050015, 'e': 0.1140780353265762}",25,11,1.920857031239458,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
218,False,"{'a': 0.8041254416665596, 'e': 0.11293725497331045}",30,16,16.29753281868451,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.8033217181536265, 'e': 0.11180788242357734}",25,0,19.37760617753964,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
220,False,"{'a': 0.8025187979624785, 'e': 0.11068980359934157}",30,13,20.95056816950249,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.8017166802901953, 'e': 0.10958290556334815}",25,13,25.795285627052905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.8009153643346592, 'e': 0.10848707650771466}",20,8,24.436541438147515,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.8001148492945541, 'e': 0.10740220574263752}",25,20,7.731128475003461,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.7993151343693651, 'e': 0.10632818368521114}",20,13,6.553490985724217,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.7985162187593771, 'e': 0.10526490184835903}",20,10,10.049770109813064,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.7977181016656743, 'e': 0.10421225282987544}",30,18,8.274224089156988,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.7969207822901396, 'e': 0.10317013030157669}",20,13,13.47846534945691,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.7961242598354538, 'e': 0.10213842899856092}",25,4,25.64680912174019,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.795328533505094, 'e': 0.10111704470857531}",30,4,-15.4645550725895,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.794533602503334, 'e': 0.10010587426148955}",30,19,20.33215730256477,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.7937394660352428, 'e': 0.09910481551887466}",20,15,10.39215739230256,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,15.450899308596522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,16.043474103304717,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,16.357313607947628,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,26.22024752372504,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,18,23.18270694644331,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,6.895873078082619,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,34.22747758861891,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,24.017011769954546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,21.008833672076758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,9.534241806231279,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,12,17.989190422898407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,10,27.80673393798112,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,2,27.050932796415385,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,3,28.45186523433725,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,14,19.268264743915125,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,17,20.217862779339526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,18,23.139192545985036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,12,16.991648398963502,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,14,21.41296643589828,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,13,31.683901297704413,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,12,15.915569583627992,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,7,36.81759968204625,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,15,28.319874143659824,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,11,17.690554119980412,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,4,25.568753175592487,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",30,11,39.34642178178111,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,12,15.124603232647917,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,12,14.28580165715202,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,5,37.69666510283054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",35,13,42.65464750986344,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,12,18.115241474397376,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",25,15,20.286449905290524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",25,20,9.774746202689863,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,14,12.365134517803842,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",25,13,26.169387154166838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,9,21.71991591301192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",30,20,20.010894683231207,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",35,21,29.278661713897307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,20,8.051429052641698,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,13,20.362549913369676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",25,15,21.190829407327204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",30,18,21.72200403439524,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",30,7,39.42831134050954,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",30,18,20.438402446947574,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",20,10,19.924917323527072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,15,19.898496416426894,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",25,20,7.015314244670168,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",25,14,24.526387019456795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,16,6.264314508009681,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",20,6,25.622116371354053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
